Node,Type,Community
913,0,905
913,2,905
914,2,654
916,2,656
917,2,657
918,2,658
919,2,659
920,2,660
921,0,906
921,2,906
922,2,661
923,0,907
923,2,907
924,0,908
924,2,908
925,2,662
926,2,663
927,2,664
928,2,665
929,2,666
930,2,667
933,2,670
936,2,673
937,2,674
939,2,675
940,2,676
941,2,677
942,0,909
942,2,909
944,2,679
945,0,910
945,2,910
946,2,680
947,0,911
947,2,911
948,2,681
950,2,683
951,2,684
952,0,912
952,2,912
953,2,685
954,2,686
955,2,687
956,0,913
956,2,913
957,2,688
958,0,914
958,2,914
959,2,689
960,2,690
963,0,915
963,2,915
964,2,692
967,2,695
968,2,696
969,2,697
970,2,698
971,2,699
972,0,916
972,2,916
975,2,701
978,2,704
980,0,917
980,2,917
981,2,706
982,2,707
983,2,708
984,2,709
985,2,710
986,2,711
987,0,918
987,2,918
989,2,713
993,2,716
994,2,717
995,2,718
998,2,719
999,0,919
999,2,919
1,3,0
4,3,3
5,3,4
7,3,6
8,3,7
12,3,10
13,3,721
14,3,11
17,3,13
18,3,14
19,3,723
21,3,725
22,3,15
24,3,17
25,3,18
26,3,726
28,3,20
29,3,21
31,3,23
33,3,727
35,3,26
36,3,27
37,3,28
38,3,29
39,3,728
40,3,30
41,3,729
42,3,31
44,3,730
45,0,920
45,3,920
46,0,921
46,3,921
48,3,34
49,3,35
50,3,36
51,3,37
52,3,731
54,0,922
54,3,922
56,3,40
57,3,41
58,3,42
59,3,43
60,3,44
61,3,45
62,0,923
62,3,923
64,3,46
65,3,47
66,0,924
66,3,924
67,3,48
68,3,49
69,3,50
71,3,733
72,3,52
74,3,734
75,3,54
77,3,56
78,3,57
79,0,925
79,3,925
83,3,60
84,3,61
85,3,62
86,3,63
87,3,64
90,3,67
91,3,68
92,3,736
93,3,69
97,3,73
98,3,74
99,3,75
100,3,737
102,3,77
103,3,78
104,3,79
106,3,739
107,3,80
108,3,81
110,3,741
111,3,82
112,3,83
113,3,84
114,3,85
115,3,86
117,3,87
118,3,743
120,3,89
121,3,744
126,3,94
127,3,95
128,0,926
128,3,926
129,3,96
131,3,97
132,3,98
134,3,746
137,3,101
138,3,102
140,3,103
141,3,104
142,3,105
143,3,106
144,3,107
145,3,747
149,3,111
150,3,112
151,3,113
153,3,114
156,3,116
157,3,117
159,3,119
160,3,120
162,3,122
164,3,124
165,3,125
167,3,127
168,3,128
169,3,129
170,3,130
171,3,131
172,3,132
175,3,133
176,3,134
177,3,751
178,3,135
179,0,927
179,3,927
180,3,752
182,3,137
183,3,138
184,3,139
185,3,140
186,3,141
187,3,142
188,3,753
189,3,143
194,3,148
195,3,149
196,3,150
197,3,151
199,3,153
201,3,154
202,3,155
204,3,157
205,3,158
206,3,159
207,3,160
208,3,161
209,3,162
211,3,755
212,3,164
213,3,165
214,3,166
215,3,756
216,3,167
217,3,168
221,3,758
222,3,759
223,3,170
224,3,171
225,3,172
226,3,173
227,0,928
227,3,928
228,3,174
229,3,175
230,3,176
231,3,177
232,3,760
233,3,761
234,3,178
235,3,762
236,0,929
236,3,929
237,3,763
240,3,764
242,3,182
243,3,765
245,3,183
246,3,767
247,3,184
249,3,768
251,0,930
251,3,930
252,3,187
253,3,769
254,3,188
256,3,190
258,3,192
259,3,770
260,3,193
261,3,771
262,3,194
263,3,195
264,3,196
266,3,772
267,3,773
268,3,774
269,3,198
271,3,775
272,3,200
273,3,201
274,3,202
275,3,203
276,3,204
277,3,205
278,3,206
279,3,207
282,3,210
283,3,776
285,3,212
286,3,213
287,3,777
288,3,214
292,3,216
293,3,217
295,3,219
297,3,221
298,3,222
299,0,931
299,3,931
301,3,224
302,3,780
303,3,225
304,3,226
305,3,227
306,3,228
310,3,230
311,3,231
312,0,932
312,3,932
314,3,783
315,0,933
315,3,933
316,3,233
318,3,784
319,3,235
320,3,236
322,3,785
323,3,238
324,3,239
326,3,240
327,3,241
328,3,242
329,3,243
331,3,244
332,3,245
334,3,246
335,3,247
336,3,788
337,3,789
338,3,790
339,3,248
341,3,250
342,3,791
343,3,251
344,3,792
345,3,252
347,3,793
349,3,254
350,3,255
351,3,256
352,3,257
355,3,794
356,3,260
357,3,261
358,3,262
359,3,263
360,3,795
361,3,264
362,3,265
363,3,796
365,3,266
366,3,267
367,0,934
367,3,934
368,3,268
373,3,271
374,3,800
375,3,272
376,3,273
377,3,274
378,3,275
379,3,276
382,3,802
383,3,278
385,3,279
386,3,804
387,3,805
389,3,281
390,3,282
393,3,285
394,3,286
395,3,806
396,3,287
397,3,288
398,3,807
399,3,289
400,3,290
401,3,291
402,0,935
402,3,935
403,3,808
404,3,292
405,3,293
406,3,809
407,3,294
408,3,295
409,3,296
410,3,297
412,3,299
414,0,936
414,3,936
415,0,937
415,3,937
416,3,301
417,3,302
419,3,304
421,3,306
422,0,938
422,3,938
423,0,939
423,3,939
424,3,307
425,3,308
426,3,309
427,0,940
427,3,940
428,3,310
430,3,811
431,0,941
431,3,941
433,3,812
436,3,312
437,0,942
437,3,942
438,3,815
439,3,313
441,3,816
442,3,315
445,3,317
446,3,318
447,3,319
448,3,320
450,3,322
451,3,323
452,3,324
453,3,325
455,0,943
455,3,943
456,3,326
457,3,327
458,0,944
458,3,944
460,3,328
461,3,329
463,3,330
465,3,331
467,3,821
468,3,332
469,3,333
470,3,334
471,3,335
473,3,337
474,3,338
475,3,339
477,3,341
478,0,945
478,3,945
480,3,343
481,3,344
482,3,345
485,3,348
486,3,349
488,3,351
490,3,353
491,3,354
492,3,355
493,3,356
497,3,359
498,3,822
499,3,360
501,3,362
502,3,363
504,3,365
505,3,366
506,3,367
507,3,823
508,3,824
510,3,825
511,3,826
512,0,946
512,3,946
514,3,370
516,3,827
518,3,828
521,3,829
522,3,830
525,3,376
526,3,377
528,0,947
528,3,947
529,3,832
531,3,834
533,0,948
533,3,948
534,0,949
534,3,949
535,3,835
536,3,380
537,3,381
538,3,382
539,3,383
540,0,950
540,3,950
541,0,951
541,3,951
542,3,384
543,3,385
544,3,386
547,3,388
548,3,389
549,3,390
550,3,391
554,3,395
555,3,836
557,3,397
558,3,398
560,3,400
561,3,837
562,3,401
563,3,402
566,3,405
571,3,838
572,3,839
573,3,840
575,3,411
576,3,841
577,3,412
579,3,414
580,3,415
583,3,842
584,3,418
586,3,843
588,3,844
592,3,846
593,3,422
594,0,952
594,3,952
597,3,425
599,3,848
600,3,426
601,3,849
602,3,427
603,3,850
604,3,428
606,3,429
609,0,953
609,3,953
610,3,851
611,3,432
612,0,954
612,3,954
613,0,955
613,3,955
618,0,956
618,3,956
620,3,438
621,3,439
624,3,441
625,3,853
626,3,854
628,3,443
629,3,444
630,3,445
631,3,446
632,3,447
633,3,448
635,0,957
635,3,957
637,3,451
638,3,452
641,3,454
644,3,457
646,3,458
648,3,856
649,3,460
650,3,857
651,3,858
652,3,461
653,0,958
653,3,958
655,3,463
656,3,464
657,3,465
658,3,466
659,3,467
660,3,468
661,3,469
662,3,470
666,3,474
667,3,475
668,3,476
669,3,477
670,3,478
673,3,481
674,0,959
674,3,959
675,3,482
676,3,483
677,3,484
678,3,485
679,3,486
681,3,488
683,3,489
684,3,490
686,3,492
687,3,493
689,3,495
690,0,960
690,3,960
691,3,859
694,3,497
695,3,861
696,3,862
697,3,498
700,3,499
701,3,500
703,3,863
704,3,502
707,3,505
708,3,506
709,3,864
711,3,508
712,3,509
713,3,510
714,3,865
715,3,866
716,3,867
717,3,511
719,3,512
720,3,513
722,3,515
723,3,516
724,3,517
725,3,518
727,3,870
729,3,520
731,0,961
731,3,961
733,3,521
734,3,522
737,3,873
739,3,874
741,3,875
742,3,526
743,3,527
744,3,528
745,3,529
746,3,530
747,3,531
748,3,532
749,3,533
751,3,535
752,0,962
752,3,962
753,3,536
754,3,537
755,3,876
758,3,539
759,3,540
761,3,542
763,3,544
764,3,545
765,3,546
768,3,878
770,3,550
771,3,551
772,3,552
773,0,963
773,3,963
774,3,553
775,3,554
776,0,964
776,3,964
778,3,556
779,3,557
780,3,558
781,3,559
782,3,560
783,3,879
784,3,561
785,3,562
786,3,563
787,3,564
788,3,565
789,3,566
790,3,567
791,3,568
793,3,880
794,3,570
796,3,881
797,3,571
798,0,965
798,3,965
799,3,572
800,3,573
801,3,882
802,3,574
803,3,575
805,3,577
806,3,883
807,0,966
807,3,966
809,3,578
810,3,579
811,3,580
812,3,581
814,3,583
815,3,584
817,3,585
818,3,586
819,3,587
821,3,589
822,0,967
822,3,967
823,3,590
824,3,591
825,3,592
826,3,885
827,3,593
828,3,594
829,3,595
830,3,886
831,3,596
832,3,597
834,3,887
835,3,599
838,3,600
839,3,889
840,3,601
842,3,891
843,3,602
844,0,968
844,3,968
846,3,604
847,3,605
848,3,606
849,3,607
850,3,892
854,3,610
855,3,611
856,3,612
858,3,614
859,3,894
860,0,969
860,3,969
861,3,615
862,3,616
864,3,895
865,3,618
866,3,896
867,3,619
868,3,620
869,3,897
870,3,898
871,3,621
872,0,970
872,3,970
874,3,623
875,3,624
876,3,625
877,3,626
878,3,899
879,3,627
880,3,628
881,3,629
882,3,630
883,3,631
885,3,633
886,3,900
887,3,634
889,0,971
889,3,971
890,3,635
891,3,636
892,3,637
894,3,638
895,3,639
896,3,640
897,3,641
898,3,642
899,3,643
901,3,645
902,3,646
903,3,647
905,3,648
906,3,649
908,3,650
910,3,652
911,3,653
912,0,972
912,3,972
914,3,654
917,3,657
919,3,659
920,3,660
921,3,906
922,3,661
923,3,907
924,3,908
925,3,662
926,3,663
927,3,664
928,3,665
929,3,666
930,3,667
931,3,668
932,3,669
933,3,670
934,3,671
935,3,672
936,3,673
937,3,674
938,0,973
938,3,973
939,3,675
942,3,909
943,3,678
945,3,910
946,3,680
947,3,911
950,3,683
951,3,684
953,3,685
954,3,686
955,3,687
956,3,913
957,3,688
959,3,689
960,3,690
961,3,691
962,0,974
962,3,974
963,3,915
964,3,692
965,3,693
966,3,694
968,3,696
969,3,697
971,3,699
972,3,916
974,3,700
976,3,702
977,3,703
978,3,704
979,3,705
980,3,917
981,3,706
982,3,707
984,3,709
985,3,710
987,3,918
989,3,713
990,3,714
991,3,715
992,0,975
992,3,975
994,3,717
995,3,718
996,0,976
996,3,976
998,3,719
1000,0,977
1000,3,977
